,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,reference,income,cpf,score_serasa
89,28,male,2,own,little,little,1108,12,repairs,bad,2023-02,,411.876.114-92,387
90,56,male,2,own,little,,618,12,radio/TV,good,2023-03,,534.540.131-43,1
91,54,male,2,own,little,little,1409,12,car,good,2023-04,,846.200.123-43,389
92,33,female,1,own,,,797,12,radio/TV,bad,2023-01,,836.263.334-42,565
93,20,male,2,rent,,rich,3617,24,furniture/equipment,good,2023-02,,819.621.321-29,105
94,54,male,2,own,rich,moderate,1318,12,car,good,2023-03,,355.679.320-22,771
95,58,male,2,rent,little,moderate,15945,54,business,bad,2023-04,,510.321.041-04,821
96,61,female,2,own,,,2012,12,education,good,2023-01,,171.537.554-89,476
97,34,male,2,own,moderate,moderate,2622,18,business,good,2023-02,,631.971.747-55,702
98,36,male,2,own,little,moderate,2337,36,radio/TV,good,2023-03,,742.973.641-66,401
99,36,male,3,rent,,moderate,7057,20,car,good,2023-04,,966.585.568-90,729
100,41,male,1,rent,moderate,,1469,24,car,good,2023-01,,847.087.286-97,555
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,2023-02,,471.980.529-91,161
102,24,female,2,own,little,,932,6,radio/TV,good,2023-03,,757.060.420-20,201
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,2023-04,,821.615.534-45,957
104,26,male,2,rent,,,2445,12,car,good,2023-01,,612.216.171-33,995
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,2023-02,,584.459.745-13,269
106,39,male,3,own,little,,6458,18,car,bad,2023-03,,251.861.908-96,862
107,32,male,2,own,little,moderate,6078,12,car,good,2023-04,3317.0,511.090.896-60,815
108,30,female,2,own,,little,7721,24,furniture/equipment,good,2023-01,,866.419.605-28,270
109,35,male,2,own,quite rich,moderate,1410,14,business,good,2023-02,,201.526.959-23,455
110,31,male,2,own,moderate,moderate,1449,6,business,good,2023-03,,367.455.268-08,461
111,23,female,2,rent,little,rich,392,15,education,good,2023-04,,709.762.958-49,726
112,28,male,1,rent,little,moderate,6260,18,car,good,2023-01,,559.965.403-63,251
113,25,female,2,own,little,,7855,36,car,bad,2023-02,,985.562.822-53,701
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,2023-03,,300.563.871-56,295
115,47,male,2,own,,,3578,48,radio/TV,good,2023-04,,692.537.098-98,724
116,30,female,3,own,,little,7174,42,radio/TV,bad,2023-01,,129.565.896-87,719
117,27,female,2,rent,,little,2132,10,furniture/equipment,good,2023-02,,705.186.637-01,748
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,2023-03,,667.002.188-70,337
119,36,male,3,own,quite rich,moderate,2366,12,car,good,2023-04,,505.772.796-61,878
120,25,female,2,own,little,little,1835,21,radio/TV,bad,2023-01,,351.060.664-76,52
121,41,female,3,rent,little,,3868,24,car,good,2023-02,,708.916.376-80,791
122,24,male,1,rent,little,,1768,12,furniture/equipment,good,2023-03,,205.399.615-31,921
123,63,male,2,free,little,rich,781,10,car,good,2023-04,,686.004.258-32,216
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad,2023-01,,516.813.318-53,763
125,30,male,2,own,little,little,2121,12,car,good,2023-02,,938.139.476-88,187
126,40,male,1,own,little,little,701,12,radio/TV,good,2023-03,,855.232.401-68,379
127,30,male,2,own,little,moderate,639,12,repairs,bad,2023-04,,762.794.050-87,492
128,34,male,3,own,little,moderate,1860,12,car,good,2023-01,,927.713.065-22,40
129,29,female,2,own,little,little,3499,12,car,bad,2023-02,,865.361.525-30,156
130,24,female,2,own,,moderate,8487,48,car,good,2023-03,,940.915.580-03,14
131,29,male,2,own,little,little,6887,36,education,bad,2023-04,,926.506.992-99,812
132,27,male,1,own,little,,2708,15,furniture/equipment,good,2023-01,,167.951.050-91,64
133,47,male,2,free,little,,1984,18,furniture/equipment,good,2023-02,,491.228.695-81,856
134,21,female,2,own,moderate,,10144,60,radio/TV,good,2023-03,,651.449.275-48,838
135,38,female,2,own,,,1240,12,radio/TV,good,2023-04,,395.094.573-37,520
136,27,male,2,own,rich,,8613,27,car,good,2023-01,,547.147.538-00,343
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,2023-02,,543.323.971-34,128
138,35,male,2,own,,moderate,2728,15,radio/TV,good,2023-03,,474.637.669-77,647
139,44,female,1,rent,little,rich,1881,12,radio/TV,good,2023-04,,436.669.225-20,471
140,27,male,0,own,rich,rich,709,6,car,good,2023-01,,767.973.919-62,62
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,2023-02,,203.769.254-42,138
142,27,male,3,own,little,little,3416,27,radio/TV,good,2023-03,,197.163.884-62,498
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,2023-04,,441.103.597-91,592
144,23,female,2,own,little,,2288,21,furniture/equipment,good,2023-01,,163.975.459-89,391
145,30,male,2,own,moderate,moderate,3566,48,business,good,2023-02,,467.899.367-34,674
146,39,female,2,own,little,little,860,6,car,good,2023-03,,724.015.076-39,418
147,51,female,2,own,moderate,,682,12,car,good,2023-04,,719.295.072-67,288
148,28,male,2,own,little,little,5371,36,furniture/equipment,good,2023-01,,511.246.243-41,378
149,46,male,2,own,rich,,1582,18,radio/TV,good,2023-02,,924.063.874-10,772
150,42,male,2,free,moderate,,1346,6,radio/TV,good,2023-03,,749.347.144-48,489
151,38,male,2,own,little,,1924,10,radio/TV,good,2023-04,,415.128.455-90,230
152,24,male,2,own,little,rich,5848,36,radio/TV,good,2023-01,,602.322.528-40,40
153,29,female,2,rent,rich,moderate,7758,24,car,good,2023-02,,501.839.173-16,27
154,36,male,3,rent,moderate,moderate,6967,24,business,good,2023-03,,550.955.688-96,134
155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,2023-04,,603.180.262-79,200
156,48,male,2,own,moderate,little,1288,9,repairs,good,2023-01,,398.173.123-99,839
157,45,male,1,own,little,little,339,12,education,good,2023-02,,926.394.380-00,779
158,38,male,2,own,moderate,moderate,3512,24,car,good,2023-03,,181.861.168-69,929
159,34,male,1,own,,,1898,6,radio/TV,good,2023-04,,451.599.419-08,32
160,36,male,2,own,moderate,,2872,24,radio/TV,good,2023-01,,390.393.729-00,47
161,30,female,2,own,little,,1055,18,car,good,2023-02,,828.437.691-16,502
162,36,male,2,own,quite rich,,1262,15,domestic appliances,good,2023-03,1779.0,316.279.556-74,406
163,70,male,3,free,little,moderate,7308,10,car,good,2023-04,,400.353.963-00,573
164,36,male,2,own,quite rich,,909,36,car,good,2023-01,,702.017.951-75,727
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good,2023-02,,271.849.876-59,804
166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,2023-03,,190.827.527-86,98
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,2023-04,3454.0,658.685.413-08,683
168,25,female,2,rent,little,,3972,24,furniture/equipment,good,2023-01,,498.624.455-80,871
169,31,male,2,own,little,moderate,1935,24,business,bad,2023-02,,748.013.361-83,725
170,33,male,2,rent,little,little,950,15,car,bad,2023-03,,873.660.738-06,986
171,26,female,2,own,little,,763,12,furniture/equipment,good,2023-04,,241.552.629-08,546
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,2023-01,,419.261.052-30,960
173,33,male,2,own,little,moderate,1414,8,radio/TV,good,2023-02,,988.451.129-26,738
174,26,male,2,own,little,little,3414,21,education,bad,2023-03,,456.490.498-15,612
175,53,female,3,own,,,7485,30,car,bad,2023-04,,917.439.061-96,942
176,42,male,2,own,little,little,2577,12,furniture/equipment,good,2023-01,,827.940.933-55,461
177,52,male,2,own,quite rich,little,338,6,radio/TV,good,2023-02,,324.793.729-36,642
178,31,male,3,rent,little,,1963,12,radio/TV,good,2023-03,,651.802.027-01,768
179,65,male,2,own,little,little,571,21,car,good,2023-04,,795.094.017-49,4
180,28,male,2,own,little,,9572,36,business,bad,2023-01,,585.091.941-49,217
181,30,male,3,own,little,moderate,4455,36,business,bad,2023-02,,348.177.872-44,502
182,40,male,1,own,,little,1647,21,car,bad,2023-03,,943.326.934-93,766
183,50,male,2,own,rich,,3777,24,furniture/equipment,good,2023-04,,458.928.499-53,397
184,36,male,2,own,little,moderate,884,18,car,bad,2023-01,,358.309.383-67,870
185,31,male,2,own,little,,1360,15,radio/TV,good,2023-02,,445.637.525-68,794
186,74,female,3,free,little,moderate,5129,9,car,bad,2023-03,,367.562.795-05,392
187,68,male,0,free,little,moderate,1175,16,car,good,2023-04,,481.253.049-08,206
188,20,male,2,own,moderate,little,674,12,radio/TV,bad,2023-01,,991.743.779-73,14
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,2023-02,,852.920.396-83,857
190,54,male,3,own,rich,,4591,24,business,bad,2023-03,,679.648.988-84,553
191,34,male,1,free,moderate,moderate,3844,48,business,bad,2023-04,,916.064.798-14,891
192,36,male,2,own,little,moderate,3915,27,business,bad,2023-01,,120.778.286-68,460
193,29,male,2,rent,little,,2108,6,radio/TV,good,2023-02,,963.003.640-11,690
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,2023-03,,832.197.174-11,574
195,34,female,3,own,little,moderate,1501,9,education,bad,2023-04,,253.878.735-16,863
196,28,female,2,own,little,,1382,6,radio/TV,good,2023-01,,784.952.169-22,742
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,2023-02,,515.222.205-18,240
198,36,male,2,free,,moderate,2760,24,car,good,2023-03,,841.694.109-20,563
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,2023-04,,960.586.616-17,95
200,52,male,2,own,quite rich,,936,9,education,good,2023-01,,408.406.326-65,899
201,27,male,1,own,little,little,1168,12,car,good,2023-02,,126.471.311-80,733
202,26,male,2,own,little,,5117,27,business,good,2023-03,,105.311.499-00,484
203,21,male,2,rent,little,little,902,12,education,bad,2023-04,,519.066.512-72,406
204,38,male,1,own,little,,1495,12,car,good,2023-01,,318.412.431-24,230
205,38,male,3,free,little,little,10623,30,car,good,2023-02,,808.290.443-70,748
206,43,male,2,own,little,,1935,12,furniture/equipment,good,2023-03,3532.0,295.206.099-11,654
207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,2023-04,,860.972.943-52,170
208,21,male,1,own,little,little,6568,24,business,good,2023-01,,669.196.061-00,540
209,55,male,2,own,rich,,1413,12,car,good,2023-02,,614.661.654-05,35
210,33,male,2,own,,,3074,9,radio/TV,good,2023-03,,741.306.971-70,524
211,45,female,1,own,,,3835,36,radio/TV,good,2023-04,,754.621.799-79,159
212,50,male,2,own,little,little,5293,27,business,bad,2023-01,,186.012.533-69,838
213,66,male,3,own,little,rich,1908,30,business,bad,2023-02,,860.213.351-04,698
214,51,male,2,own,,,3342,36,radio/TV,good,2023-03,,179.885.559-36,242
215,39,female,1,own,,moderate,932,6,education,good,2023-04,,271.614.571-73,85
216,31,male,2,own,little,little,3104,18,business,good,2023-01,,495.279.992-19,795
217,23,male,2,own,little,rich,3913,36,radio/TV,good,2023-02,,836.837.917-21,577
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,2023-03,,190.013.844-12,681
219,64,female,2,own,little,,1364,10,car,good,2023-04,,499.127.635-72,556
220,26,male,1,own,little,moderate,625,12,radio/TV,good,2023-01,,630.796.485-52,573
221,23,female,2,rent,,little,1200,12,education,good,2023-02,,130.267.797-76,952
222,30,male,2,own,little,,707,12,radio/TV,good,2023-03,,482.786.513-29,645
223,32,male,2,own,,,2978,24,business,good,2023-04,,262.787.783-60,795
224,30,male,2,own,little,,4657,15,car,good,2023-01,,122.636.262-12,27
225,27,male,2,own,little,,2613,36,repairs,good,2023-02,,592.573.471-84,619
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,2023-03,,648.525.216-97,555
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,2023-04,,565.945.588-38,339
228,22,male,2,own,little,,1478,9,radio/TV,bad,2023-01,,426.707.983-81,797
229,22,male,2,free,little,little,3149,24,furniture/equipment,good,2023-02,,129.370.827-50,957
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,2023-03,,237.559.589-02,330
231,51,male,1,free,quite rich,,2507,9,car,good,2023-04,,784.205.555-68,639
232,35,male,2,own,moderate,,2141,12,radio/TV,good,2023-01,,996.551.649-93,505
233,25,male,1,own,little,moderate,866,18,radio/TV,good,2023-02,,371.051.260-35,347
234,42,male,1,own,little,,1544,4,radio/TV,good,2023-03,,255.307.661-45,472
235,30,male,3,own,little,little,1823,24,radio/TV,bad,2023-04,,605.298.723-58,230
236,23,male,0,own,,moderate,14555,6,car,bad,2023-01,,328.184.544-41,189
237,61,male,1,rent,moderate,moderate,2767,21,business,bad,2023-02,,156.318.065-09,224
238,35,female,2,own,little,,1291,12,radio/TV,good,2023-03,,493.738.988-25,384
239,39,male,2,own,little,little,2522,30,radio/TV,good,2023-04,,573.032.257-73,376
240,29,female,2,own,,little,915,24,car,bad,2023-01,,662.252.136-00,282
241,51,male,2,own,little,,1595,6,radio/TV,good,2023-02,,476.422.740-17,957
242,24,male,2,free,little,little,4605,48,car,bad,2023-03,,513.698.817-70,632
243,27,female,2,own,little,,1185,12,business,good,2023-04,,902.977.754-05,627
244,35,female,1,own,quite rich,,3447,12,education,good,2023-01,,331.078.856-30,972
245,25,male,2,own,little,,1258,24,business,good,2023-02,,141.765.312-40,744
246,52,male,2,own,little,,717,12,radio/TV,good,2023-03,3680.0,338.475.082-96,258
247,35,male,2,rent,moderate,,1204,6,car,good,2023-04,,423.351.362-40,358
248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,2023-01,,731.280.819-05,709
249,22,female,2,rent,little,,433,18,radio/TV,bad,2023-02,,227.575.741-40,455
250,39,female,1,own,rich,little,666,6,car,good,2023-03,,946.978.454-55,410
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,2023-04,,926.295.961-33,648
252,24,female,2,own,little,moderate,2150,30,car,bad,2023-01,,532.049.347-99,317
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good,2023-02,,629.726.929-77,676
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good,2023-03,,167.342.646-88,224
255,27,male,1,own,,moderate,7418,60,radio/TV,good,2023-04,,794.771.973-00,818
256,35,male,1,own,little,,2684,24,radio/TV,good,2023-01,,827.532.962-00,233
257,29,male,2,free,little,little,2149,12,radio/TV,bad,2023-02,,255.804.053-75,683
258,23,female,2,own,moderate,,3812,15,car,good,2023-03,,420.350.350-74,663
259,57,female,1,own,moderate,,1154,11,radio/TV,good,2023-04,,385.939.003-13,974
260,27,male,2,own,little,little,1657,12,furniture/equipment,good,2023-01,,535.616.868-34,826
261,55,female,2,own,little,little,1603,24,radio/TV,good,2023-02,,705.774.067-01,373
262,36,male,3,free,little,little,5302,18,car,good,2023-03,,995.545.833-03,671
263,57,female,1,free,little,,2748,12,education,good,2023-04,,104.952.075-00,607
264,32,male,1,own,little,,1231,10,car,good,2023-01,,875.650.542-67,471
265,37,male,2,own,little,moderate,802,15,radio/TV,bad,2023-02,,732.128.048-90,232
266,36,male,2,own,,,6304,36,business,good,2023-03,,599.789.865-29,691
267,38,female,2,own,little,,1533,24,radio/TV,good,2023-04,,270.650.277-08,112
268,45,male,3,own,little,little,8978,14,car,bad,2023-01,,389.694.289-17,829
269,25,male,2,own,,,999,24,radio/TV,good,2023-02,,649.541.292-49,496
270,32,male,2,own,,,2662,18,car,good,2023-03,,661.022.754-38,441
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,2023-04,,848.629.149-69,563
272,36,male,3,free,,moderate,12169,48,car,good,2023-01,,649.645.527-99,267
273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,2023-02,,239.505.641-36,509
274,34,male,1,own,little,little,11998,30,repairs,bad,2023-03,,607.049.629-93,806
275,32,male,2,own,little,,2697,9,radio/TV,good,2023-04,,340.197.765-20,385
276,26,female,2,own,little,,2404,18,radio/TV,good,2023-01,,706.784.578-59,386
277,49,male,1,own,,little,1262,12,furniture/equipment,good,2023-02,,271.929.423-32,112
278,32,female,2,own,little,,4611,6,furniture/equipment,bad,2023-03,,334.845.107-81,612
279,29,male,3,rent,moderate,,1901,24,radio/TV,good,2023-04,,395.214.605-63,624
280,23,male,2,rent,rich,,3368,15,car,good,2023-01,,447.545.672-00,951
281,50,male,2,own,little,,1574,12,furniture/equipment,good,2023-02,,411.505.294-58,80
282,49,male,1,own,,rich,1445,18,radio/TV,good,2023-03,,757.044.884-71,698
283,63,male,2,own,,,1520,15,furniture/equipment,good,2023-04,,198.328.226-02,112
284,37,male,2,own,moderate,moderate,3878,24,car,good,2023-01,,845.282.113-19,1
285,35,female,1,own,little,little,10722,47,car,good,2023-02,,760.527.962-00,641
286,26,male,2,own,little,little,4788,48,car,good,2023-03,,937.308.545-00,219
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good,2023-04,,512.745.169-78,565
288,49,female,2,own,little,moderate,1092,12,radio/TV,good,2023-01,,990.445.005-62,854
289,48,male,2,own,little,little,1024,24,radio/TV,bad,2023-02,,413.710.545-68,996
290,26,male,2,own,little,,1076,12,business,good,2023-03,,705.470.463-08,735
291,28,male,3,rent,little,moderate,9398,36,car,bad,2023-04,,884.822.537-35,224
292,44,female,3,free,little,little,6419,24,car,good,2023-01,,411.301.656-98,384
293,56,male,2,free,little,rich,4796,42,car,good,2023-02,,422.824.129-82,402
294,46,male,3,own,,,7629,48,business,good,2023-03,,669.189.144-99,637
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,2023-04,,581.098.549-15,129
296,20,female,2,rent,,,4675,12,car,good,2023-01,,373.708.320-74,52
297,45,male,1,own,,,1287,10,car,good,2023-02,,841.986.467-67,683
298,43,male,2,own,little,,2515,18,furniture/equipment,good,2023-03,,556.859.742-13,729
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,2023-04,,697.850.944-21,671
300,54,female,0,own,little,,672,6,car,good,2023-01,,556.352.877-43,709
301,42,female,2,own,little,moderate,3804,36,radio/TV,bad,2023-02,,736.778.831-05,415
302,37,male,1,own,,rich,1344,24,car,bad,2023-03,,163.607.605-09,246
303,49,male,2,own,little,little,1038,10,car,good,2023-04,,440.730.093-03,835
304,44,male,2,free,quite rich,,10127,48,car,bad,2023-01,,850.926.204-71,438
305,33,male,2,own,rich,,1543,6,furniture/equipment,good,2023-02,,390.045.363-29,202
306,24,female,1,rent,,,4811,30,car,good,2023-03,,111.021.186-48,183
307,33,male,1,own,moderate,little,727,12,radio/TV,bad,2023-04,,971.008.738-00,122
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,2023-01,,738.502.824-14,400
309,22,male,1,rent,little,moderate,276,9,car,good,2023-02,,422.984.837-44,766
310,40,male,0,free,,moderate,5381,48,vacation/others,good,2023-03,,728.671.512-79,293
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good,2023-04,,814.282.636-40,279
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,2023-01,,604.806.516-71,836
313,25,male,1,own,little,moderate,685,12,car,bad,2023-02,,622.963.425-23,883
314,29,male,1,own,,rich,1494,4,car,good,2023-03,,392.797.831-06,609
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,2023-04,,210.861.281-50,197
316,38,male,1,own,little,little,708,12,furniture/equipment,good,2023-01,,126.231.747-92,981
317,48,female,1,own,,moderate,4351,24,furniture/equipment,good,2023-02,,680.534.808-02,906
318,32,male,2,own,little,,701,12,education,good,2023-03,,443.448.748-54,510
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,2023-04,,312.727.739-30,751
320,28,male,3,own,little,moderate,4249,30,car,bad,2023-01,,214.777.099-08,143
321,32,male,2,own,little,little,1938,24,radio/TV,bad,2023-02,,624.136.575-41,608
322,34,male,3,free,little,little,2910,24,car,good,2023-03,,883.822.431-50,200
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good,2023-04,,504.975.707-00,123
324,36,female,2,own,little,,1028,18,car,good,2023-01,,365.498.252-29,186
325,39,male,1,own,little,little,3398,8,car,good,2023-02,,900.793.118-06,325
326,49,male,2,rent,,,5801,12,furniture/equipment,good,2023-03,,126.379.085-21,463
